City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
67,Isafjordur,66.0755,-23.124,28.04,90,91,7.18,IS,2023-12-11 02:49:44
68,Puerto Armuelles,8.2833,-82.8667,85.08,73,74,7.0,PA,2023-12-11 02:51:18
69,Lebu,-37.6167,-73.65,54.52,90,77,14.5,CL,2023-12-11 02:49:31
70,Petropavlovka,50.6114,105.3196,-12.98,89,29,2.19,RU,2023-12-11 02:51:18
71,Timaru,-44.4,171.25,67.06,65,6,8.01,NZ,2023-12-11 02:51:18
72,Yamba,-5.9,22.3,70.03,99,100,1.32,CD,2023-12-11 02:51:18
73,Galesong,-5.3166,119.3661,84.22,71,100,8.93,ID,2023-12-11 02:51:18
74,Shetpe,44.1667,52.1167,22.95,94,98,17.67,KZ,2023-12-11 02:51:19
75,Margaret River,-33.95,115.0667,77.47,31,0,5.44,AU,2023-12-11 02:49:31
76,Mlangali,-9.7833,34.5167,61.14,89,100,4.16,TZ,2023-12-11 02:51:19
77,Zhangye,38.9342,100.4517,40.53,32,100,10.07,CN,2023-12-11 02:51:19
78,Gisborne,-38.6533,178.0042,61.3,70,99,10.67,NZ,2023-12-11 02:51:19
79,Darnah,32.767,22.6367,59.2,79,100,12.68,LY,2023-12-11 02:51:19
80,Soe,-9.8607,124.284,83.7,54,98,6.93,ID,2023-12-11 02:51:19
81,Machico,32.7,-16.7667,69.71,80,75,4.61,PT,2023-12-11 02:51:19
82,Carnarvon,-24.8667,113.6333,89.08,26,0,14.18,AU,2023-12-11 02:49:41
83,Lerwick,60.1545,-1.1494,44.6,76,100,13.31,GB,2023-12-11 02:51:20
84,Crane,31.3974,-102.3501,47.73,23,0,5.7,US,2023-12-11 02:49:58
85,Longyearbyen,78.2186,15.6401,30.04,64,100,12.66,SJ,2023-12-11 02:49:35
86,Grants Pass,42.439,-123.3284,46.81,89,100,0.0,US,2023-12-11 02:51:20
87,Katabu,-4.9333,122.5167,87.06,65,100,8.48,ID,2023-12-11 02:51:20
88,Vorgashor,67.5833,63.95,-13.76,100,100,9.04,RU,2023-12-11 02:49:42
89,Iwanai,42.9744,140.5089,29.05,62,100,12.97,JP,2023-12-11 02:51:20
90,Chorbane,35.2858,10.3858,57.4,63,1,6.85,TN,2023-12-11 02:51:20
91,Daru,-9.0763,143.2092,82.15,66,100,8.9,PG,2023-12-11 02:49:46
92,Alvaraes,-3.2208,-64.8042,76.93,88,51,1.01,BR,2023-12-11 02:51:21
93,Saint-Pierre,-21.3393,55.4781,77.58,69,0,4.61,RE,2023-12-11 02:51:21
94,Ilulissat,69.2167,-51.1,28.42,69,100,14.97,GL,2023-12-11 02:49:36
95,Trairi,-3.2778,-39.2689,79.63,74,88,10.87,BR,2023-12-11 02:50:58
96,Cabedelo,-6.9811,-34.8339,77.67,72,73,8.23,BR,2023-12-11 02:51:21
97,Invercargill,-46.4,168.35,61.7,47,64,16.4,NZ,2023-12-11 02:49:29
98,Edinburgh Of The Seven Seas,-37.0676,-12.3116,56.59,71,97,17.94,SH,2023-12-11 02:49:36
99,Hoemul-Li,41.4339,129.67,29.1,73,100,8.41,KP,2023-12-11 02:51:21
100,Zeya,53.75,127.2667,-10.39,67,2,5.93,RU,2023-12-11 02:51:21
101,New Norfolk,-42.7826,147.0587,70.92,25,11,3.27,AU,2023-12-11 02:49:32
102,Igarka,67.4667,86.5833,-20.67,98,100,6.71,RU,2023-12-11 02:51:22
103,Kuqa,41.7278,82.9364,28.62,52,4,1.32,CN,2023-12-11 02:51:22
104,Aasiaat,68.7098,-52.8699,26.82,87,100,13.04,GL,2023-12-11 02:49:41
105,Lompoc,34.6391,-120.4579,60.93,65,0,7.0,US,2023-12-11 02:48:19
106,Guerrero Negro,27.9769,-114.0611,65.53,50,0,4.41,MX,2023-12-11 02:49:59
107,Oodweyne,9.4092,45.064,61.61,51,7,7.54,SO,2023-12-11 02:51:22
108,Palmer,42.1584,-72.3287,61.63,84,100,16.11,US,2023-12-11 02:48:54
109,Kapuskasing,49.4169,-82.4331,19.49,93,100,6.91,CA,2023-12-11 02:45:02
110,Huarmey,-10.0681,-78.1522,68.74,84,99,8.81,PE,2023-12-11 02:49:47
111,Tamanrasset,22.785,5.5228,55.31,26,0,10.36,DZ,2023-12-11 02:51:23
112,Cacu,-18.5567,-51.1308,73.17,85,100,5.01,BR,2023-12-11 02:51:23
113,Port Mathurin,-19.6833,63.4167,78.89,76,100,7.29,MU,2023-12-11 02:49:30
114,Pariaman,-0.619,100.12,86.05,71,27,3.44,ID,2023-12-11 02:51:23
115,Georgetown,5.4112,100.3354,87.73,74,20,10.36,MY,2023-12-11 02:46:15
116,Ocean Shores,46.9737,-124.1563,49.01,98,95,5.97,US,2023-12-11 02:46:36
117,Broken Hill,-31.95,141.4333,95.27,23,93,18.79,AU,2023-12-11 02:51:23
118,Polyarnyy,69.1989,33.4478,7.57,91,84,15.52,RU,2023-12-11 02:49:43
119,Alofi,-19.0595,-169.9187,75.09,94,100,9.22,NU,2023-12-11 02:50:15
120,Luanda,-8.8368,13.2343,77.0,2,100,4.61,AO,2023-12-11 02:51:24
121,Inongo,-1.95,18.2667,71.46,92,100,2.64,CD,2023-12-11 02:51:24
122,Petropavlovsk-Kamchatsky,53.0452,158.6483,32.59,93,75,2.24,RU,2023-12-11 02:50:03
123,Mujiayingzi,42.1167,118.7833,10.2,75,100,4.29,CN,2023-12-11 02:51:24
124,Dhidhdhoo,6.8833,73.1,83.26,76,100,9.91,MV,2023-12-11 02:51:24
125,Mwene-Ditu,-7.0,23.45,66.06,99,100,2.33,CD,2023-12-11 02:51:25
126,Constantia,44.1833,28.65,30.88,83,91,10.18,RO,2023-12-11 02:49:40
127,Kalemie,-5.9475,29.1947,70.65,91,100,1.72,CD,2023-12-11 02:51:25
128,Mount Isa,-20.7333,139.5,89.37,33,7,10.36,AU,2023-12-11 02:49:37
129,Coronel Du Graty,-27.6804,-60.9146,67.68,65,0,6.8,AR,2023-12-11 02:49:19
130,Olonkinbyen,70.9221,-8.7187,27.27,66,100,11.3,SJ,2023-12-11 02:49:45
